CountryCode,SeriesCode,DESCRIPTION
BRA,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BRA,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BRA,SP.DYN.LE00.IN,Derived using male and female life expectancy
BRA,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BRA,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BRA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BRB,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BRB,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BRB,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BRB,SP.DYN.LE00.IN,Derived using male and female life expectancy
BRB,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BRB,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BRB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BRN,SG.NOD.CONS,There is no nondiscrimination provision.
BRN,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BRN,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BRN,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BRN,SP.DYN.LE00.IN,Derived using male and female life expectancy
BRN,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BRN,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BRN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BTN,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BTN,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BTN,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BTN,SP.DYN.LE00.IN,Derived using male and female life expectancy
BTN,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BTN,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BTN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BWA,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BWA,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BWA,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BWA,SP.DYN.LE00.IN,Derived using male and female life expectancy
BWA,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BWA,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BWA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CAF,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
CAF,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
CAF,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
CAF,SP.DYN.LE00.IN,Derived using male and female life expectancy
CAF,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
CAF,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
CAF,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CAN,SG.OBT.IDCD.MR,There is no national identity card.
CAN,SP.DYN.CBRT.IN,"Data sources : Statistics Canada, United Nations Population and Vital Statistics Report, United Nations World Population Prospects"
CAN,SP.DYN.CDRT.IN,"Data sources : Statistics Canada, United Nations Population and Vital Statistics Report, United Nations World Population Prospects"
CAN,SP.DYN.LE00.FE.IN,"Data sources : Statistics Canada, United Nations World Population Prospects"
CAN,SP.DYN.LE00.IN,Derived using male and female life expectancy
CAN,SP.DYN.LE00.MA.IN,"Data sources : Statistics Canada, United Nations World Population Prospects"
CAN,SP.DYN.TFRT.IN,"Data sources : Statistics Canada, United Nations World Population Prospects"
CAN,SP.POP.TOTL,Data sources : Statistics Canada
CHE,SP.DYN.CBRT.IN,Data sources : Eurostat
CHE,SP.DYN.CDRT.IN,Data sources : Eurostat
CHE,SP.DYN.LE00.FE.IN,"Data sources : Eurostat, Swiss Federal Statistical Office"
CHE,SP.DYN.LE00.IN,Derived using male and female life expectancy
CHE,SP.DYN.LE00.MA.IN,"Data sources : Eurostat, Swiss Federal Statistical Office"
CHE,SP.DYN.TFRT.IN,Data sources : Eurostat
CHE,SP.POP.TOTL,Data sources : Eurostat
CHI,SG.POP.MIGR.FE.ZS,"Refers to Guernsey, and Jersey."
CHI,SP.ADO.TFRT,"Refers to Guernsey, and Jersey."
CHI,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
CHI,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
CHI,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
CHI,SP.DYN.LE00.IN,Derived using male and female life expectancy
CHI,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
CHI,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
CHI,SP.POP.0014.TO.ZS,"Refers to Guernsey, and Jersey."
CHI,SP.POP.1564.TO.ZS,"Refers to Guernsey, and Jersey."
CHI,SP.POP.65UP.TO.ZS,"Refers to Guernsey, and Jersey."
CHI,SP.POP.AG00.FE.IN,"Refers to Guernsey, and Jersey."
CHI,SP.POP.AG00.MA.IN,"Refers to Guernsey, and Jersey."
CHI,SP.POP.AG01.FE.IN,"Refers to Guernsey, and Jersey."
CHI,SP.POP.AG01.MA.IN,"Refers to Guernsey, and Jersey."
CHI,SP.POP.AG02.FE.IN,"Refers to Guernsey, and Jersey."
CHI,SP.POP.AG02.MA.IN,"Refers to Guernsey, and Jersey."
CHI,SP.POP.AG03.FE.IN,"Refers to Guernsey, and Jersey."
